Year,by types of economic activity,by the organisational and legal forms,Region,Value
2017,activities in the field of compulsory social insurance,,,
2018,activities in the field of compulsory social insurance,,,
2019,activities in the field of compulsory social insurance,,,
2020,activities in the field of compulsory social insurance,,,
2021,activities in the field of compulsory social insurance,,,
2022,activities in the field of compulsory social insurance,,,55.4
2023,activities in the field of compulsory social insurance,,,57.0
2024,activities in the field of compulsory social insurance,,,61.2
2025,activities in the field of compulsory social insurance,,,64.8
2016,pre-primary education,,,
2017,pre-primary education,,,
2018,pre-primary education,,,
2019,pre-primary education,,,
2020,pre-primary education,,,
2021,pre-primary education,,,
2022,pre-primary education,,,98.2
2023,pre-primary education,,,98.2
2024,pre-primary education,,,98.2
2025,pre-primary education,,,98.1
2016,primary education,,,
2017,primary education,,,
2018,primary education,,,
2019,primary education,,,
2020,primary education,,,
2021,primary education,,,
2022,primary education,,,87.6
2023,primary education,,,88.1
2024,primary education,,,87.5
2025,primary education,,,87.3
2016,general secondary education,,,
2017,general secondary education,,,
2018,general secondary education,,,
2019,general secondary education,,,
2020,general secondary education,,,
2021,general secondary education,,,
2022,general secondary education,,,72.9
2023,general secondary education,,,73.4
2024,general secondary education,,,74.0
2025,general secondary education,,,74.3
2016,technical and vocational secondary education,,,
2017,technical and vocational secondary education,,,
2018,technical and vocational secondary education,,,
2019,technical and vocational secondary education,,,
2020,technical and vocational secondary education,,,
2021,technical and vocational secondary education,,,
2022,technical and vocational secondary education,,,31.2
2023,technical and vocational secondary education,,,31.8
2024,technical and vocational secondary education,,,32.2
2025,technical and vocational secondary education,,,33.0
2016,post-secondary non-tertiary education,,,
2017,post-secondary non-tertiary education,,,
2018,post-secondary non-tertiary education,,,
2019,post-secondary non-tertiary education,,,
2020,post-secondary non-tertiary education,,,
2021,post-secondary non-tertiary education,,,
2022,post-secondary non-tertiary education,,,40.5
2023,post-secondary non-tertiary education,,,41.0
2024,post-secondary non-tertiary education,,,42.9
2025,post-secondary non-tertiary education,,,44.0
2016,tertiary education,,,
2017,tertiary education,,,
2018,tertiary education,,,
2019,tertiary education,,,
2020,tertiary education,,,
2021,tertiary education,,,
2022,tertiary education,,,29.6
2023,tertiary education,,,29.0
2024,tertiary education,,,29.0
2025,tertiary education,,,27.9
2016,sports and recreation education,,,
2017,sports and recreation education,,,
2018,sports and recreation education,,,
2019,sports and recreation education,,,
2020,sports and recreation education,,,
2021,sports and recreation education,,,
2022,sports and recreation education,,,25.4
2023,sports and recreation education,,,25.5
2024,sports and recreation education,,,25.8
2025,sports and recreation education,,,26.4
2016,cultural education,,,
2017,cultural education,,,
2018,cultural education,,,
2019,cultural education,,,
2020,cultural education,,,
2021,cultural education,,,
2022,cultural education,,,68.2
2023,cultural education,,,68.8
2024,cultural education,,,69.7
2025,cultural education,,,71.1
2016,driving school activities,,,
2017,driving school activities,,,
2018,driving school activities,,,
2019,driving school activities,,,
2020,driving school activities,,,
2021,driving school activities,,,
2022,driving school activities,,,26.2
2023,driving school activities,,,27.5
2024,driving school activities,,,29.3
2025,driving school activities,,,29.8
2016,other education n.e.c.,,,
2017,other education n.e.c.,,,
2018,other education n.e.c.,,,
2019,other education n.e.c.,,,
2020,other education n.e.c.,,,
2021,other education n.e.c.,,,
2022,other education n.e.c.,,,60.3
2023,other education n.e.c.,,,60.0
2024,other education n.e.c.,,,60.0
2025,other education n.e.c.,,,60.5
2016,educational support activities,,,
2017,educational support activities,,,
2018,educational support activities,,,
2019,educational support activities,,,
2020,educational support activities,,,
2021,educational support activities,,,
2022,educational support activities,,,55.9
2023,educational support activities,,,55.8
2024,educational support activities,,,54.9
2025,educational support activities,,,54.1
2016,hospital activities,,,
2017,hospital activities,,,
2018,hospital activities,,,
2019,hospital activities,,,
2020,hospital activities,,,
2021,hospital activities,,,
2022,hospital activities,,,40.3
2023,hospital activities,,,41.1
2024,hospital activities,,,42.5
2025,hospital activities,,,42.6
2016,general medical practice activities,,,
2017,general medical practice activities,,,
2018,general medical practice activities,,,
2019,general medical practice activities,,,
2020,general medical practice activities,,,
2021,general medical practice activities,,,
2022,general medical practice activities,,,45.9
2023,general medical practice activities,,,46.1
2024,general medical practice activities,,,46.2
2025,general medical practice activities,,,46.8
2016,specialist medical practice activities,,,
2017,specialist medical practice activities,,,
2018,specialist medical practice activities,,,
2019,specialist medical practice activities,,,
2020,specialist medical practice activities,,,
2021,specialist medical practice activities,,,
2022,specialist medical practice activities,,,44.5
2023,specialist medical practice activities,,,44.9
